Nome Completo do Arquivo, Nome do Jogo, Tamanho, CRC, MD5, SHA1
Fast Eddie (USA).zip, Fast Eddie, 2907, AFA2CD6B, a004839047eeecae9f56f28045e02cc1, b093fe8322c1cce72da9b380bc65deb5c9a69298
Fast Food (USA).zip, Fast Food, 2878, 5FE6C8DF, c40aa7a8a41bec2f285bf0e95d43218b, 5f529e786da5b062d8f2955dad4af03a20aa563d
Fatal Run (USA).zip, Fatal Run, 15115, E36BB2FD, c8743db0160fb926e121d294215075c0, 6d4b42cfd05a8ac6ba396261ac63fdb7fa427a48
Fathom (USA).zip, Fathom, 5878, 067D5257, b4e9877966395563aa487907de93cef3, d2e98c062d0e29b7156f54b8831293b56e3a2938
Final Approach (USA).zip, Final Approach, 3151, C6C57CB0, aba7ef587336a94dcb115bf973de854e, 6f2d4a1f5c21e0d34322f96c98e6e12bd0cc13a7
Fire Fighter (USA).zip, Fire Fighter, 3206, 80925C38, d2df84fd08ea81478869c466d54b2a79, d3e97f03673be3e5b895fc2c0a69d65c40006ba8
Fire Fly (USA).zip, Fire Fly, 2971, F397C893, e1f058df418cf0cf78ed489ab8785abe, 50c059255f9665c8aed08f4a89d2afb57837acf3
Fire Spinner (USA).zip, Fire Spinner, 3131, 250D8CED, 496c6026abc1482c0aeb04e7d5afde4a, b8706a973169fd139876c19ed7da25ac6ca6ff5b
Fireball (USA).zip, Fireball, 4471, 1F1AC931, 3d0051e93ca23b53a92ee4b5ecfc83c3, 74c5d02f9efa85f85127380a72bc40fcee3c6bb5
Fishing Derby (USA).zip, Fishing Derby, 1852, 14CC1541, f467579a9308acbfc74417fd3fd7a15a, e9b095343080886242d32cb73537941f1dbf0c21
Flag Capture ~ Capture (USA).zip, Flag Capture ~ Capture, 1798, 6A672B1C, 5289334f036aa7d9e344f9531e6de616, bbaca83422f7326c7a27e0ffe603f63198277947
Flash Gordon (USA).zip, Flash Gordon, 3023, F2A812BA, 85eec4b93d817cab65cfe06b6a382a3b, 7ead4114c8e93bed692281facac2a18d2d8924b7
Football (USA).zip, Football, 1944, 65F61ACE, f5dc69b13f5cebb1b3eb39929e775966, 95c00f33cb82437235ef9bbb41fe7ef6018d0d96
Forest (Europe).zip, Forest, 3128, 5422BCA1, b0e94eed40612b272ebc56965c5473b2, da14e53da0804759de09e0188a167bf7f47aeccd
Frankenstein's Monster (USA).zip, Frankenstein's Monster, 3293, 4BC986E3, a2eed51629d1e22a3b69e1adbece63b1, fd838f73f9b6ca285dfcc8e00ca177494c707864
Freeway (USA).zip, Freeway, 1709, 68EB1B5E, 0331ff564519807e79a61fb258cf1fe3, 96a9bf6a99232f30167c6e0ed662a929f451b64d
Frisco (USA).zip, Frisco, 3355, EF436377, 52bca6b732aff3f9ba016d095b588fb6, 78c21f524fb634ea1afa294491bc0274a6623b6c
Frog Demo (Europe).zip, Frog Demo, 955, EBC91FB4, b50c30a4fe224e093a04e72c4db8f418, f104fadc78f9baf39d17f3f1b70b3eaa4eebc437
Frog Pond (USA) (Proto).zip, Frog Pond, 4465, 4056D6BB, 002272a68195a672f2aee6b9cea78a10, c73d10172cfb9dedc695ff54afb210dbe9133a43
Frogger (USA).zip, Frogger, 3375, A4BA85C0, a819fe2c3edd190e784c082dd1d8342b, 127dc83cfcaed884e2b7146fad141b3f3035dea7
Frogger II - Threeedeep! (USA).zip, Frogger II - Threeedeep!, 6129, 7FAA7885, 89ac25e717dc62404a9d9cd2e71a638d, 27b32a4ddf9c939367bdf124b3736473a9e4f006
Frogs and Flies (USA).zip, Frogs and Flies, 2789, F109FD31, 2aa93b318a1deb2a3bd465ab969909e1, a41d1c567c353ddbcfc8508aae91d4907ef8bff4
Front Line (USA).zip, Front Line, 5969, 15BBD7BB, eb28f53a89d32075e89978140dd2ccd6, e3674985c67fb94cddd4333049a9e91f722ffb7e
Frostbite (USA).zip, Frostbite, 3275, 978F4C69, 57f93e53eed85da2a780676c6bdb82b3, 233c8e3c183f43c70de35c6ba46f568208b0bdba
Funky Fish (USA) (Proto).zip, Funky Fish, 4117, BA1A97FB, 28ade2e4ec997e2413d02d54d4f7bb89, 5158a2b98a4cc0fc487e4e2e47f66b3f7be3ba5d
G.I. Joe - Cobra Strike (USA).zip, G, 3280, 27B71B1A, a2405e834dd19252ae331b745cd6a19a, 11688af3f25d5ac92adc304e931f8e56a84e9640
Galaxian (USA).zip, Galaxian, 5564, 22D3938A, 7d0aa6c4eec2d590d8cd8409c7032a23, 634e727b3d9a1d5fbda9bf851353dc38a9b71f1d
Gamma-Attack (USA).zip, Gamma-Attack, 1841, E77F3915, 9ce6fffcec17da7a30a7ab93599ebf18, 5e28a19e9ff001dec659f756d0f3333926a8bfbe
Gangster Alley (USA).zip, Gangster Alley, 3077, 32438653, e77ac87ec1020124421744fa9a6b9639, 6f3bcf5efee73deb7bcf2142a86c53adc344f69b
Garfield (USA) (Proto).zip, Garfield, 4285, 37B6675D, 8277e0b798eefe7131eedae867b021da, 3c034e839e2b26a76f58adbf526825dd481e9444
Gas Hog (USA).zip, Gas Hog, 3216, 698438FC, afcd23ca34929968dd3ee77df4d5c615, 06c319403bd41aa953190f9595e8a1f9eef62234
Gauntlet (USA).zip, Gauntlet, 3105, FA947DB3, 9723dbdad900e91932e5bc2688d11040, 2bf9929f35ff5d84fa0675c12c08966da4525372
Ghost Manor (USA).zip, Ghost Manor, 4543, 46A35B92, 5ead45f2cb0140d4a50be2effefa9035, 6c1d08496c389fa70afedb37a05ac12186728bab
Ghostbusters (USA).zip, Ghostbusters, 6182, A6EE7A2F, 4814a60c2f6aa534dac3ad828f28d2a5, caad71ad32fed9577f58c7b24a2fe8c8bb2846e0
Ghostbusters II (Europe).zip, Ghostbusters II, 7951, DF670433, 155ac8079adc89313a40cc10f76aa9bc, 536df09e2bb33b59871bc28ba68562dda93d9a82
Gigolo (USA).zip, Gigolo, 3024, 3F5DC986, f98f09bc55734cfb5e1d8052f27e5a34, 9e484bf383e6cecdab6ee40ad023390e43b99bb2
Glacier Patrol (USA).zip, Glacier Patrol, 2705, 47B5F72B, 82b7c4d23d46b5b48edcdf4e60ab68b1, 95a946ab226ee0ef83de2adbc286c4b42ece3e78
Glib - Video Word Game (USA).zip, Glib - Video Word Game, 3255, EDA44AF1, b03f75ca1ef16663b9a928c36e92a67c, cb82d6022a9136ade738928925c886d2d3c9460d
Going-Up (USA) (Proto).zip, Going-Up, 1320, A9F60ADB, fbffe803e12c320319e01d9ffa8098f4, bf21f4286efc6c96889b408aead43ea7f03f301d
Golf (USA).zip, Golf, 1970, 7B249334, 3ca0765fbdcf581b00e015fe15e34c12, 26a3a4d9b852fc674704b82ba01eae11749da808
Good Luck, Charlie Brown (USA) (Proto).zip, Good Luck, Charlie Brown, 3178, 059B6FE9, 61436ceec416bb8c332a4677e4c1c64a, 4adffb793c34c8d3873614a20be75370b9077845
Gopher (USA).zip, Gopher, 3180, C45D0F3F, 549e41784f00ec8eecebe889764567d4, a88b7930d969cbfc95940a91d4455cf871f2170a
Gorf (USA).zip, Gorf, 3314, E322D98B, 63a19838ecb5e7801c42f66b18416828, f74f9477f2874aaefea09490d9ee83736c71acb9
Grand Prix (USA).zip, Grand Prix, 2601, 5132E034, a75a51ac23b845465b998dddf14ff540, 4034021940c7b53e143b586dbffd6d75d8f97279
Gravitar (USA).zip, Gravitar, 5396, 498CFAC2, 1e26140cc45aa64d97e11c01c48e4f3b, 55d8dc0322e9c2bf4c6bf4ba42f4f21bab46a3d7
Great Escape (USA).zip, Great Escape, 3174, 361DFA90, a0b1c30e767073373bae6470552934a2, 934880faa9270cee2809342762f4c54f624ce894
Gremlins (USA).zip, Gremlins, 5741, FA212757, 10c84f62471dcd80e37767f45e29369d, 67d0eacf4248b0f6e89df563891555bcd3d22cd3
Grover's Music Maker (USA) (Proto).zip, Grover's Music Maker, 4723, BFCF3EB7, ad5e240f2234475a9d72fbece4e25e01, 45357dade2b78c57d7527156af94074ae441fc57
Guardian (USA).zip, Guardian, 3217, 08D49DF6, 41d368e6dde258a4d8abd2310f820d4a, 4dd93dcf960135ed3b9bbec8c0bca6eb68054025
Gyruss (USA).zip, Gyruss, 6120, 77E5E2D8, 78d2ed59ec7a3d97a711e11340adbfb3, c8e0f2bc2d14b094d2b404eaa10e4d32476b1f9d
H.E.R.O. (USA).zip, H, 6246, 96DE9F7A, 47ff146b51107f7c983022e23d9c5bbe, 7ec775a8f11c148374cb4537ac4ce6027c970533
Halloween (USA).zip, Halloween, 2969, 3B9A3B4D, 65ca8b148c6869ade7f9ebe6a9644c0c, f607bc7ff3fce5b6a60662ddb7acb76f7345dba0
Hangman ~ Spelling (USA).zip, Hangman ~ Spelling, 3554, EAAF197E, abf596bd6ca7cf51c2ce0d05d7c450e8, e94f0864b2bb18c12059087f3b79ca8dade1ea50
Hard-Head (USA) (Proto).zip, Hard-Head, 3413, F35D5A1E, 726637aef861e93ba6b890fbe134dfa2, 90458e3743029299e2c8a25fd2391ae7c03cc187
Harem (USA) (Proto).zip, Harem, 3170, 39E11CA1, 8c2101a73ff33fa3a010f16f8b0dc39c, 1f0ee8bafe55490aa42ee4d0de4c4c5f13f0075c
Haunted House (USA).zip, Haunted House, 3503, FD64870A, a83f9db3845027dd0a5a959efac8eca6, 63f735420b34d201a61da4a02b4d3ceb22b9515a
Hole Hunter (USA).zip, Hole Hunter, 3212, DA16B987, 6950d0ae1df46f8f4718d6fc16a20920, 2f144c22f588994c556b95a2058c4789f603f083
Holey Moley (USA) (Proto).zip, Holey Moley, 3711, 6FD2C4A9, b08b43853da2b01409d7826f414a7d8a, 35e39b2ac1397ae3064801a0753f262eab654f21
Home Run ~ Baseball (USA).zip, Home Run ~ Baseball, 1903, 3310FDC6, 1fe21833d992bafa937aa9c5f6e2c8ea, 61c5cb33dad24e9e037754df959fa91c7549aa78
Human Cannonball ~ Cannon Man (USA).zip, Human Cannonball ~ Cannon Man, 1988, EFA09EC4, 1b2e515dd4f2d814848aa1ef281b5ed2, 97d95c4bae93b71e474a40e5b8482dbe03d80d4d
Hunt & Score ~ Memory Match (USA).zip, Hunt & Score ~ Memory Match, 1856, E4E5D6E2, 75d839fbae03641d015ecbd91faf3b27, f465b00e73801c2c620ebb65480b983f83a1489b
I Want My Mommy (USA).zip, I Want My Mommy, 2767, DC04AF74, 14b233ab01a3b428e90302486c7522fd, 4b3d10c88033160ac4bdf6668bb10cc04fee05da
I.Q. 180 (USA).zip, I, 2902, C09A841F, 02fb66faf21fc68861a9a4e076a288b8, 7d8ff38e50e1d9387c6379d397852d28b37a7d1b
IQ 180 (USA).zip, IQ 180, 2901, 904FEAF8, 4bfb025d9deacdee3913711011141763, 4d94266695f8f2b6679a8b14cbc1fd6e09c3c7c2
Ice Hockey (USA).zip, Ice Hockey, 3143, CE7736E5, d93da931cac8fd830bf32d3db7d167fe, 2374fbfe5e93dc2078629f02496bfff07f3b4b61
Ikari Warriors (USA).zip, Ikari Warriors, 6742, 902013D3, 55c89ce65d239a44901b83b7967199b5, 0e6fe40fe9806f498bf7137fd5b0d9568c44a79c
Immies & Aggies (USA) (Proto).zip, Immies & Aggies, 3317, 5BFA9FAE, e812fc6239f9df789c9dc4bf18b342fc, 08be2f36bb8a8bf054eea32327c8dc4f4bf86046
Indy 500 ~ Race (USA).zip, Indy 500 ~ Race, 1852, 980A05CD, 684a85beafa91d11dbe3a3c0b1784c45, c2d81926a66fb187463c0bca5ae5159a2951e636
Infiltrate (USA).zip, Infiltrate, 3010, 7308556F, c55f9812555dcbb225560042f73977b1, e89322d4c3da7d57be3eed3e835d9d20eff71df2
International Soccer (USA).zip, International Soccer, 2929, 0EEB4D0D, 504a9a079a1ad3a197858e71e59f9a47, 66d85285bbb99495b1c897b4f5c4ff150a8a2b32
Ixion (USA) (Proto).zip, Ixion, 5187, 0F5984D5, 6452c7bd7bd55818a95df9b7cea23ad5, 603b66d293f11305fb6f14238c5a2f3eff8024a8
James Bond 007 (USA).zip, James Bond 007, 5972, 8E29E457, 1ad8a085526669b6935c753be53c7ac9, 9c53f4b17c69f74049677015b6c71f2747f9673f
Jawbreaker (USA).zip, Jawbreaker, 3072, B094354E, 269c5f214d5a409c3215c25a020fe353, e25b5be05cbfb713494d5befcf3ffe59dd35fc2e
Journey Escape (USA).zip, Journey Escape, 3370, 58723F20, 48cd7eefd82aa6c40d87612574632ece, 06fc6ecaee28acdc03b6b8542aa6bac1ded32b39
Joust (USA).zip, Joust, 6056, 41AB0C46, de0952a4810113c1263c2f2611920e23, fbb640d194972444257c79cc21dee6104b0b4571
Jr. Pac-Man (USA).zip, Jr, 9849, 5FC0B429, 087c129e5b5106a84d8eabe4bd596b13, 712df1f1a1bd835a2e540b611e270dd774b57d1e
Jungle Fever ~ Knight on the Town (USA).zip, Jungle Fever ~ Knight on the Town, 3275, 238107E9, a47311394510e8416571275abfe1d5e3, cbf894581bcd6585cd9aefe4fcad7c5e9a228379
Jungle Hunt (USA).zip, Jungle Hunt, 6207, 151F2453, 729d588eca9e5bf3516966eb9ffffdd3, f09946a7f2e6060d4d699ffaadd0d25bb74d28bd
Kabobber (USA) (Proto).zip, Kabobber, 3470, FF27BF8F, 2a67436dffefc512d9c75b0a2d021e59, a767ac4aa0ed211b877b7be3879d298a1079a955
Kaboom! (USA).zip, Kaboom!, 1753, 1CAD0E93, 07666cda7123df4bbce43a1e7f5e698b, f09faa73dd389052972f050f2ba9540a34667616
Kamikaze Saucers (USA) (Proto).zip, Kamikaze Saucers, 2546, 42B3695E, 2e15d9d0d60c333c534679fa968d8687, 81b9710d82a2be4174d3bbd92fc363c8166212d2
Kangaroo (USA).zip, Kangaroo, 5916, 4FC911F6, 2af28774f11036403eefc5d898df1695, 6b1ae2412f4213ddcf83916b9cbfd1447ef92e29
Karate (USA).zip, Karate, 2913, 0A2A9470, a8345adee334524ea2ca4b8e760010d5, 1acfa28f0f7430bef47603f7529a5e3e6062944e
Keystone Kapers (USA).zip, Keystone Kapers, 3478, 74A604B2, 5fcb85a5f97ed0580b53d9ce16a248ca, 737a6a6ab6a0204a0b13e6263f5dd3dd2d04b03e
Killer Satellites (USA).zip, Killer Satellites, 4663, 7D0A87E2, 5fcc8e7b1b4458666411ef0f72f2f442, 78a3ae4c5e163d858034cdf50b7edac59fc1bf8f
King Kong (USA).zip, King Kong, 2971, 11D0A75E, 3a06fa836071202e4d0a8c592a34ff6a, 7ff2b4dc8e0a715010c9f430fb54570c3989985e
Klax (USA).zip, Klax, 9627, DCC40030, 6a64f6eee02163e4453110fd5b03378a, f60f36a1c28722a0d9e446a5523ada23a7e5c37a
Kool-Aid Man (USA).zip, Kool-Aid Man, 3210, 340C4A93, bf6d223bfef1514f501614a7f99bbd84, ca9f885521038f414a271fdd31f589dd18226cce
Krull (USA).zip, Krull, 6787, 17728DFF, 7343da3a3adea27dd3058ab19907aa67, 57973555cf072e2ea8eb05caaaa2f77c1163bb6c
Kung-Fu Master (USA).zip, Kung-Fu Master, 6449, BA01898A, bc247da7c8192e5a9f57f226efa2c7ba, 3cf298063184b31182f9870c3bcb503f631f0d91
Kyphus (USA) (Proto).zip, Kyphus, 2709, C48502C3, 5c93fee2e1574d28afd628e86cbc7171, 0b9b5d38179a5ac67b517c218796da53863f6f1d
Lady In Wading (USA).zip, Lady In Wading, 2973, 69DAAA96, 30a0e96f4e16af83ef992066473d0b61, df4bfa9aa57744777b052a6dff35e2fff6de918c
Laser Blast (USA).zip, Laser Blast, 1844, 519E9108, f0f09e7157cebec87f2643328e153765, 61f2eaf3803b77ab8e83ed0eb3fe284453816b6f
Laser Gates (USA).zip, Laser Gates, 3470, 6E229FAF, 6d18ecb8a2efafed7d4b8d1ec1ba930d, 1315a90a07bca524e1d4c43c65110b905af12ef9
Lasercade (USA) (Proto).zip, Lasercade, 3191, 78ACFE37, fd3a6c9ed0e3bc0a8790eb5ea85bf6c2, c61241393443dec49cf78028ed55332da6ef3766
Lilly Adventure (USA).zip, Lilly Adventure, 3292, 02CCC62D, 8d72067fc10d3485a7c9341e1b809763, c4b8664c535cbe220cb36985ba862f32e08cfc48
Lochjaw (USA).zip, Lochjaw, 2999, 9F4292EB, 469252064ba7cb920b1fc163d6874517, 572a0ec98b565009ebbaeb2928d1f87237fa5176
Lock 'n' Chase (USA).zip, Lock 'n' Chase, 2919, 85F0D5FE, cec86d928186c0a3fb007378dec5fcff, d485955bd177bb488d77a8039ddbcc0adadb7d56
London Blitz (USA).zip, London Blitz, 3273, 35F511FB, a26aaf79c839da8f14ad8f3b062dc2bb, 58789081c39e2db6ded0a0ee3a1a131fda3e1d6a
Looping (USA) (Proto).zip, Looping, 6016, 5AB2DFE8, 63156838a9b5538b6005397f6c4c3256, c880154be8f176483d3239ff7eea66cfc5ac2d0d
Lord of the Rings, The - Journey to Rivendell (USA) (Proto).zip, Lord of the Rings, The - Journey to Rivendell, 5977, 9674F47C, 32a79fd553f56c9e5df028412087dad6, fb640bb0d8fc9db502393987c2fa76107bb7fc97
Lost Luggage (USA).zip, Lost Luggage, 2950, DFCBAAB2, 93a814d5f30b9454cf8b18b2db6ffd90, 8e0ab7e56005f577dccec964b81537a82564e38c
M.A.D. (USA).zip, M, 3332, AC21F439, f783009f1465a80a5b2570972321212c, a8cd5ce09bbd823f863fdb5f6f8664f3c4f365a8
M.A.S.H (USA).zip, M, 3508, 7ADED487, 106e2e5b3c24eb9f58dd383cdc3097e4, d3bd9a8db7617a11bebe2e347155c3a602d05cfc
MagiCard (USA).zip, MagiCard, 1896, 56C56CEC, ed8b1c772e4a275764d8a6d62bbad18c, d8ae1faa5104228be0c46f02e8b18bc1562a4d8e
Malagai (USA).zip, Malagai, 3280, 3000162C, f858a26d336fe958ebea4759e02c5d2e, 6305004d3c2edfc80b4b887dc429130b9cd1824f
Mangia' (USA).zip, Mangia', 3143, BBA94A21, 86fca0e1f29a658497d2d7c8ee0e1823, 7fd7e26e79ac4fa84d9c31dcc5609b2387065698
Marauder (USA).zip, Marauder, 3228, 936F24F7, ff259d1b1d2bb075d7559c3290afb6aa, 21c36f43674f734c9ed8971d035898687ea9e5e0
Marine Wars (USA).zip, Marine Wars, 3592, 157C2506, 0a900f0d5e00d82d9e4e4dc82cf1f2e3, 216415966be414323947113282ca5b1b8939b6c4
Mario Bros. (USA).zip, Mario Bros, 5233, AF81165E, 85d2ffcf7a14e4475ecfc69c1c4b0c2e, 9a3127a67cb2f0d4b1daa390dce4a832d9269d13
Master Builder (USA).zip, Master Builder, 3251, CADCD60E, c866c0d3f3b52ab27a8f43fce15579a3, 512bf2b224bcc4991dd59339445683b800f37bb4
Masters of the Universe - The Power of He-Man (USA).zip, Masters of the Universe - The Power of He-Man, 8786, 3A8DAFB4, 93d0a76c66ddd200dbadad451ca972a4, 21cfacedcd27f2fd0d3c4101bb385c512ac9a5bb
Math Gran Prix (USA).zip, Math Gran Prix, 3148, 06CF4211, 242848c3ae151a8c6c0a2a4d5e8f319a, 9e7cb3ab3d011091af363caf916c31370e579d6c
Maze Craze - A Game of Cops 'n Robbers ~ Maze Mania - A Game of Cops 'n Robbers (USA).zip, Maze Craze - A Game of Cops 'n Robbers ~ Maze Mania - A Game of Cops 'n Robbers, 3200, 66C8EBB4, 95d701e2837634c4fe9bbfa011b8dd13, e34e1fcda4b7c10ffd4d6a8cdb2292c2bb800290
Mazy Match (USA) (Proto).zip, Mazy Match, 3321, 06CE6346, 7adad07e7a9366b2630bf03a108f243f, b3449fa361bfead4eae21d874ab4b127e4cb5627
McDonald's - Golden Arches Adventure (USA) (Proto).zip, McDonald's - Golden Arches Adventure, 3493, 06E0A51F, c580207e16523431dd1499388c6461ad, 743abe362fad037ad0ef5891b3449bf6accc78af
Mega Force (USA).zip, Mega Force, 3687, 38E4A089, 5b4cdc69d44fae1cdf774a20c5131863, ee948ee434cdf4eeed90a519bda0c087bb9fc66f
MegaBoy (USA).zip, MegaBoy, 25085, 42AE5A66, ca8e8e876193808cf42f76a5288c8fb5, 398fe78993b8d64780b8ade959f0b5fed35887c3
MegaMania - A Space Nightmare (USA).zip, MegaMania - A Space Nightmare, 3230, 47726385, 0b2ddb77ef3f2dd4b5e0c2416af1bb85, 2fd66904df099695c2eab6dbff3ffbe0f0026a20
Meltdown (USA) (Proto).zip, Meltdown, 3279, FE905D84, e440db25854824e9b2bef1aa3e9a0dfd, f510d63c85549db1652db74e784ff54d9546df7a
Midnight Magic (USA).zip, Midnight Magic, 8548, 031C0A6C, 63bf14fcb338a4b701f3285b6e5ca80c, c6df86b50b1ae1e96658bc06ca7b52aabd906be8
Millipede (USA).zip, Millipede, 9280, 779C824A, 80616c0c75edbbc4838d9c1e1d5ceab3, d740db28486f9cf3f1fd666176c31571194296c0
Mind Maze (USA).zip, Mind Maze, 2830, 82BEA6CD, 32e865e4c0ee84cc0b4e1befa34cfd08, df5a71b5dba0a86c608a01a9aac1cfaeeef5b044
Miner 2049er - Starring Bounty Bob (USA).zip, Miner 2049er - Starring Bounty Bob, 5386, 5AE78280, 060224f3a1aa4d5ea949649127a70340, a87799841c0a18ba3dff17a3dadae108a8decba2
Miner 2049er Volume II (USA).zip, Miner 2049er Volume II, 5881, FDAD6CAA, 76eaa251e6736945e97e740e45097706, 865886b2a50acf276b3c3787a3fb5501df3e1351
Mines of Minos (USA).zip, Mines of Minos, 3411, 30943C36, 615cdc265b88bb48f3791c6e43e5044f, bf6e151512751af247caca5fb8f018a21102979d
Miniature Golf ~ Arcade Golf (USA).zip, Miniature Golf ~ Arcade Golf, 1785, F746E44C, 3acc764e1b4d132bdf0294b3ecb7d0f1, 25b93204be9b4d6469b25dc1eea2df61f6a353b3
Miss Piggy's Wedding (USA) (Proto).zip, Miss Piggy's Wedding, 2541, F4B368E4, 9077bdd858033eee4195aaaecf225472, f5026ab804e4668025ce763a455a57ae921a5c42
Missile Command (USA).zip, Missile Command, 3440, F7E8B0D5, b829833159db2bc57970856c4c198c90, 05478994eb25fa648b1029495219800c6ea864e4
Missile Control (Europe).zip, Missile Control, 3047, 46BDFD72, 9b3b003db15c0e6ff6e53e478acd39f2, 379c4603afc1afacf8a04331cc4cccb6ce38864c
Missile War ~ Astro War (Europe).zip, Missile War ~ Astro War, 2696, 0629AB13, 6b0f715eb8a2e889de7c907fa3c59978, ab17f4407ab14eb033ac5eaf1eccaabe87f89fcf
Mission 3,000 A.D. (USA).zip, Mission 3,000 A, 3145, 9EF41FB2, 7c1180c02988ef06806504cad93046ff, 88278fec5dd21b60adf47ac062cc19dacbecc2ba
Mission Survive (Europe).zip, Mission Survive, 3003, 26876EDE, e998724673ef37b8c33162874037e440, c7e9a84c7a69cee25e802fd4ab605cbb807dc55f
Mogul Maniac (USA).zip, Mogul Maniac, 3387, 96A8CBF9, 733c8e460359c0a1d09a03b38e71cdd6, 86585c312bf27746a28323a4a6b437c00f9032b3
Monster Cise (USA) (Proto).zip, Monster Cise, 2256, CB50EA29, a1c80b2a4df876ce76944df0786e755a, a1df3ee62dc9155b69787c4345a0bf4f9aaea56b
Montezuma's Revenge - Featuring Panama Joe (USA).zip, Montezuma's Revenge - Featuring Panama Joe, 5957, 5E5677D2, e27f3b4ecb7e04cab7b65366b1f671b1, 118b3c376d12f5cb982f1d36e19296f8d1713352
Moon Patrol (USA).zip, Moon Patrol, 6207, B7A61257, f7b308c5453730550237132823bab107, 6457e774f89af34f7e4455fb5ec1afd6a602d255
Moonsweeper (USA).zip, Moonsweeper, 6047, B8459710, 8bfbd24692d11e4716cd82d3a3983f7a, 14e8ea69ea65c6de13d7facf85ac8ca813ed84ed
Morse Code Tutor (USA).zip, Morse Code Tutor, 1832, E0E7038F, 5198e7c8195956e51cb26c4fc110ce6d, 6440cf869fac72044009cb07b52deb8f1dcade87
MotoRodeo (USA).zip, MotoRodeo, 7606, 79340174, e82102caa092085f3131e46f251f2cc9, 2e11f9fb823e9cacc6f912be773d2e7db18519b5
Motocross (USA).zip, Motocross, 3117, C3E6D081, d0f155564e6101e99c655edbab0e2bf3, c0af1a2d6a46aea4336665049f79f080e1ea616c
Motocross Racer (USA).zip, Motocross Racer, 5199, 3D745175, 55df7c0fb40873cf02c3794ce4f8ccb5, 704b3c62881cd1e053df52192a55557ec5b71a8a
Mountain King (USA).zip, Mountain King, 6634, F33BD495, 3801c17a2d45ced53cdf6c2f622e0def, ee15719e92f440525af856adae3031c3445a3729
Mouse Trap (USA).zip, Mouse Trap, 3157, 5BF3576C, 18affebe6b3646ee3ed22c71f1f9ca3a, db3362536a7a9d2b35108153060efffe527bfba3
Mr. Do! (USA).zip, Mr, 5706, F3F08EC6, 8c31e424ae5dd5625e8763f85c234a52, 5308f4cefdd530cb58693f96eced53f2756ef351
Mr. Do!'s Castle (USA).zip, Mr, 5367, B56D47CE, fd5cdc0c9c3c386609036cdcbd2dd532, 9676a77f3f943b13d74fc7fd609dfa56096b6595
Mr. Postman (USA).zip, Mr, 3268, 4B28977C, 419b1411f6bf05a30e6a73b6d3856a2a, 033006f25b2d882847074bf6ea71391a7d326973
Ms. Pac-Man (USA).zip, Ms, 5536, 29FBF60D, de76097d7921f448f9c737ca11742620, 4ced1812bfec1021d24163a5d61ac7fd0040efb7
Music Machine, The (USA).zip, Music Machine, The, 2572, D9FFA1E4, 9b2d2b0fd7f7a794ccd168514626a770, bae06e1abe3ec9f1803749d13d818324cd3d061e
My Golf (Europe).zip, My Golf, 5549, D2B70D92, 49ed680ebf9decf9b9fcb099f14d3bde, 3e31dd5288696235ddac519c5d1c449e4cd0345c
Mysterious Thief, A (USA) (Proto).zip, Mysterious Thief, A, 3230, 9C54415C, 90136961fb2d639b26e91c822dd10a21, 1e89ac96710739114baf2520913935c7d2d36e40
Name This Game (USA).zip, Name This Game, 3215, B3977B9D, 7ce4bf540b148ed04f912c617b77e2aa, 85f8f7b7e0200a43907eae138bda30efc8d880ba
Night Driver (USA).zip, Night Driver, 1853, F0F32381, 69eb55c637eecc523875d4c4a182c610, e3eeb749a0c45a539ba222c6c31dcc5046d103af
No Escape! (USA).zip, No Escape!, 3430, 9848730F, 2c1fb12c44316dbc403cd7d86becdac8, 6f352f5ff97a2738245eea91320ced990bf31ab4
Nuts (USA).zip, Nuts, 2453, FB59F458, 9de4340afd55352d5630682313476fe5, c513cdf7f250887775eb4343901fd37a8da47d67
Obelix (USA).zip, Obelix, 5118, 487925FB, f43362799fc3b97c1c2f15d1a78dd04b, cbff9fc11939f671766aa9a0019ec3c3f448b11c
Off Your Rocker (USA) (Proto).zip, Off Your Rocker, 3044, 2221423F, ad7f2b654bb3fd8088f112ede0d4839f, a5032554254eacd709970ec51a45791e05883ccb
Off the Wall (USA).zip, Off the Wall, 7844, 3307B919, 94e67b556ba3f46a180a348126765a4b, 7edaadc76be429e39bc984175602a9d998e47814
Official Frogger, The (USA).zip, Official Frogger, The, 4771, 75AE52F1, 5e01abb364bf7806fba6804a63bf637c, c5c59106969be5ac24f408536cb2138e116ff7ff
Oink! (USA).zip, Oink!, 3543, 48F4E8EF, 45f79b55c8eb9e70ec884f3c7de7efcb, 03165a9393c8f22bdc6b8c06ba16c031c149d71e
Omega Race (USA).zip, Omega Race, 6204, DBBD5284, bcde7b7d59c262c30a355520579d4a22, acfb283b3bd1c5d2bda4518f380484d3b007a107
Open Sesame (Europe) (Bit Corporation).zip, Open Sesame, 3219, 82FEC966, 45a823bacddcb4bf8725e973661ea207, 8570b40c3ab4464154f697256eba8cf628c75b13
Oscar's Trash Race (USA).zip, Oscar's Trash Race, 6301, 48BB898D, 787fe58b1a368d54550ffd08b8c153e1, f4c836c61301346a34a023ede32a1d1887fa5f83
Othello (USA).zip, Othello, 1897, E32E16C9, 13f6996aade4ae5c62611bf41d189b69, 2891afc10d14a4b9217e03ebc0bf2122fa024ce5
